Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Daniel Rotroff,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Georgene Hergenroeder,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pedram Hamrah,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Partners for Pain & Wellbeing Equity: A Randomized Trial of Community Supported Complementary and Integrative Health Self Management for Back Pain,Roni Evans,Health Equity in Pain Management,Adult Demographics,Demographics,
Human Nociceptor and Spinal Cord Molecular Signature Center,Ted  Price,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Adult Demographics,Demographics,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
EPPIC-Net: Platform Protocol to Assess Treatments for Painful Diabetic Peripheral Neuropathy,Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Adult Demographics,Demographics,
EPPIC-Net: Novaremed Painful Diabetic Peripheral Neuropathy ISA (EN21-01),Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Adult Demographics,Demographics,
A Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects With Knee Osteoarthritis Pain.,Maurizio Fava,EPPIC Net- Early Phase Pain Investigation Clinical Network,Adult Demographics,Demographics,
Group-based Integrative Pain Management: A multi-level approach to address intersectional stigma and social isolation in diverse primary care safety net patients with chronic pain,Maria Chao,Health Equity in Pain Management,Adult Demographics,Demographics,
Quantifying and Treating Myofascial Dysfunction in Post Stroke Shoulder Pain,Preeti  Raghavan,MPS- Myofascial Pain,Adult Demographics,Demographics,
MRI-based quantitative characterization of impaired myofascial interface properties in myofascial pain syndrome,Ziying Yin,MPS- Myofascial Pain,Adult Demographics,Demographics,
Innervation of the knee and TMJ,Kyle Allen,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Adult Demographics,Demographics,
Multimodal imaging biomarkers for investigating fascia muscle and vasculature in myofascial pain,Siddhartha Sikdar,MPS- Myofascial Pain,Adult Demographics,Demographics,
From Nerve to Brain: Toward a Mechanistic Understanding of Spinal Cord Stimulation in Human Subjects,Brian Wainger,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Adult Demographics,Demographics,
HEALing LB3P: Profiling Biomechanical Biological and Behavioral Phenotypes,Gwendolyn Sowa,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Healing Opioid Misuse and Pain Through Engagement (HOPE) Trial,Katie Witkiewitz,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Novel Imaging of Endplate Biomarkers in Chronic Low Back Pain,Aaron Fields,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
INTERCEPT: Integrated Research Center for human Pain Tissues,Robert Gereau,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Adult Demographics,Demographics,
Nonpharmacologic Pain Management for Lumbar Surgery,Julie Fritz,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
The Spine Phenome Project: Enabling Technology for Personalized Medicine,William Marras,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Equity Using Interventions for Pain and Depression (EQUIPD),Marianne Matthias,Health Equity in Pain Management,Adult Demographics,Demographics,
A Randomized Clinical Trial to Evaluate Non-Pharmacologic and Pharmacologic Approaches for Reducing Pain and Opioid Use Among Patients Treated with Maintenance Hemodialysis,Laura Bernardo,HOPE,Adult Demographics,Demographics,
Tailored Retention and Engagement for Equitable Treatment of OUD and Pain (TREETOP),Jessica Merlin,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Integrating Nonpharmacologic Strategies for Pain with Inclusion Respect and Equity (INSPIRE): Tailored digital tools telehealth coaching and primary care coordination,Jason Satterfield,Health Equity in Pain Management,Adult Demographics,Demographics,
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,Adult Demographics,Demographics,
UM MRC BACPAC,Afton Hassett,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Optimizing the use of ketamine to reduce chronic postsurgical pain,Jing Wang,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Claudia Campbell,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
Wake Forest NCORP Research Base,Glenn Lesser,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,Katie Witkiewitz,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
Harvard PRECISION Human Pain Center,William Renthal,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Adult Demographics,Demographics,
Addressing the chronic pain epidemic among older adults in underserved community center; The GetActive+ study,Ana-Maria Vranceanu,Health Equity in Pain Management,Adult Demographics,Demographics,
Cancer Pain Management: A Technology-Based Intervention for Asian American Breast Cancer Survivors,Eun-Ok Im,Health Equity in Pain Management,Adult Demographics,Demographics,
Development Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain,Conor Walsh,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Total-body PET for assessing myofascial pain,Abhijit Chaudhari,MPS- Myofascial Pain,Adult Demographics,Demographics,
Wearable nanocomposite sensor system for diagnosing mechanical sources of low back pain and guiding rehabilitation,Anton Bowden,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Development and identification of magnetic resonance electrophysiological and fiber-optic imaging biomarkers of myofascial pain,Song Hu,MPS- Myofascial Pain,Adult Demographics,Demographics,
Understanding the Mechanistic Neurophysiological and Antinociceptive Effects of Transcutaneous Auricular Neurostimulation for Treatment of Chronic Pain,Denise Wilkes,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Adult Demographics,Demographics,
Technology Research Site for Advanced Faster Quantitative Imaging for BACPAC,Sharmila Majumdar,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Comprehensive functional phenotyping of trigeminal neurons innervating temporomandibular joint (TMJ) tissues in male female and aged mice primates and humans with and without TMJ disorders (TMJD),Armen Akopian,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Adult Demographics,Demographics,
Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain,Lubdha  Shah,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
COMEBACK,Jeffrey Lotz,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
RM1 Project 1: Evaluating the specific role of endogenous opioids as the mechanism underlying tAN-based analgesia in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Adult Demographics,Demographics,
RM1 Project 2: Determining the independent and synergistic effects of transcutaneous auricular neurostimulation (tAN) on direct brain activation in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Adult Demographics,Demographics,
Neural architecture of the murine and human temporomandibular joint,Christopher Donnelly,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Adult Demographics,Demographics,
Mapping the joint-nerve interactome of the knee,Anne-Marie Malfait,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Adult Demographics,Demographics,
Imaging Epigenetic Dysregulation in Patients with Low Back Pain,Hsiao-Ying Wey,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Development and Validation of a Noninvasive Multimodal Ultrasound-Based Imaging Biomarker for Myofascial Pain,Ajay Wasan,MPS- Myofascial Pain,Adult Demographics,Demographics,
Proof of Concept Study to Treat Negative Affect in Chronic Low Back Pain,Ajay Wasan,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
SMART Stepped Care Management for Low Back Pain in Military Health System,Julie Fritz,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Randomized-controlled trial of virtual reality for chronic lower back pain to improve patient-reported outcomes and physical activity,Brennan Spiegel,BACPAC- Back Pain Consortium Research Program,Adult Demographics,Demographics,
Stepped Care for Patients to Optimize Whole Recovery (SC-POWR),William Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Pain Care At Home to Amplify Function (Pain CHAMP),William  Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Intergrated Care for Chronic Pain and Opioid Use Disorder: The IMPOWR Research Center at Montefiore/Einstein (IMPOWR-ME),Joanna  Starrels,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
Transition from Acute to Chronic Pain After Thoracic Surgery,Chad  Brummett,A2CPS- Acute to Chronic Pain Signatures Program,Adult Demographics,Demographics,
Fibromyalgia TENS in Physical Therapy Study (TIPS):an embedded pragmatic clinical trial,Kathleen  Sluka,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
Non-pharmacological Options in postoperative Hospital-based And Rehabilitation pain Management (NOHARM) pragmatic clinical trial,Andrea Cheville,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
Group-Based Mindfulness for Patients with Chronic Low Back Pain in the Primary Care,Natalia Morone,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
Hybrid Effectiveness-Implementation Trial of Guided Relaxation and Acupuncture for Chronic Sickle Cell Disease Pain,Adrith  Doorenbos,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
Pragmatic Trial of Acupuncture for Chronic Low Back Pain in Older Adults,Lynn Debar,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
RESOLVE- Tailored Non-Pharmacotherapy Services for Chronic Pain: Testing Scalable and Pragmatic Approaches,Lynn Debar,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
Randomized Clinical Trial Intervention to Treat Chronic Pain Among Persons Maintained on Methadone for Opioid Use Disorder,Kelly  Dunn,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Adult Demographics,Demographics,
Mentoring in Discovery and Validation of Clinical Chronic Pain Biomarkers,Sean Mackey,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
"Achieving Equity through SocioCulturally-informed Digitally-Enabled Cancer Pain managemeNT"" (ASCENT) Clinical Trial",Andrea Cheville,Health Equity in Pain Management,Adult Demographics,Demographics,
Integrating Tailored Postoperative Opioid Tapering and Pain Management Support for Patients on Long-Term Opioid Use Presenting for Spine Surgery (MIRHIQL),Jennifer Hah,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Adult Demographics,Demographics,
Pain management in advanced kidney disease,Jessica Ma,K12 - National K12 Clinical Pain Career Development,Adult Demographics,Demographics,
Optimizing Patient-Centered Opioid Tapering with Mindfulness-Oriented Recovery Enhancement,Eric Garland,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Adult Demographics,Demographics,
Sequential Trial of Adding Buprenorphine Cognitive Behavioral Treatment and Transcranial Magnetic Stimulation to Improve Outcomes of Long-Term Opioid Therapy for Chronic Pain (ACTION),Kelly Barth,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Adult Demographics,Demographics,
Identifying multimodal biomarkers for autologous serum tears in the treatment of chronic postoperative ocular pain,Rony Sayegh,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Adult Demographics,Demographics,
Advancing Rural Back Pain Outcomes with Rehabilitation Telehealth (ARBOR-Telehealth),Richard Skolasky,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
Predictive biosignature for endoscopic therapy for chronic pancreatitis pain,Lisa  Doan,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Developing Radiocaine NaV imaging as a response monitoring biomarker for chronic pain,Braxton Norwood,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Mechanisms of Action of Peripheral Nerve Stimulation for the Treatment of Chronic Neuropathic Pain,Jennifer Hah,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Adult Demographics,Demographics,
Peer suppoRt for adolescents and Emerging adults with Sickle cell pain: promoting ENgagement in Cognitive behavioral thErapy (PRESENCE),Charles Jonassaint,ERN- Pain Management Effectiveness Research Network,Adult Demographics,Demographics,
Reaching Rural Veterans: Applying Mind-Body Skills for Pain Using a Whole Health Telehealth Intervention (RAMP),Diana Burgess,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
STREAM,Bridget Mueller,K12 - National K12 Clinical Pain Career Development,Adult Demographics,Demographics,
IMPACT: Integrative Mindfulness-Based Predictive Approach for Chronic low back pain Treatment,Jean King,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Adapting and Implementing a Nurse Care Management Model to Care for Rural Patients with Chronic Pain,Sebastian Tong,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Adult Demographics,Demographics,
Sensory Phenotyping to Enhance Neuropathic Pain Drug Development,Roy Freeman,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Adult Demographics,Demographics,
Impact of discrimination on pain management in adults with sickle cell disease,Lakeya McGill,K12 - National K12 Clinical Pain Career Development,Adult Demographics,Demographics,
PAINED: Project Addressing INequities in the Emergency Department,Monika Goyal,Health Equity in Pain Management,Adult Demographics *Revised,Demographics,
